split,seed,fold,method,r2,rmse,time_s
scaffold,1,4,ECFP6-GBDT,0.4562970303496867,1.0737723237848962,0.6057169437408447
scaffold,1,4,MACCS-GBDT,0.49101035565922513,1.0389288909597645,0.5097761154174805
scaffold,1,4,ECFP4-RF,0.3802795392581827,1.1463817708324486,0.4119589328765869
scaffold,1,4,ChemSMD+PCA+TabICL,0.41115108982969617,1.1174633512525218,1.7582151889801025
scaffold,1,4,ChemSMD+EnsRP+TabICL,0.5014254986049973,1.0282444359879006,8.833266973495483
scaffold,2,0,Predict-train-mean,,,6.198883056640625e-06
scaffold,2,0,1-NN ECFP4,-2.1810426965248224,2.058053048802331,0.005200862884521484
scaffold,2,0,ECFP4-GBDT,-0.12084496554024837,1.2216437781992704,0.6102750301361084
scaffold,2,0,ECFP6-GBDT,-0.11681075073916602,1.219443344085784,0.5969789028167725
scaffold,2,0,MACCS-GBDT,-0.08378799546810911,1.2012792523778988,0.5028867721557617
scaffold,2,0,ECFP4-RF,-0.01770626075890913,1.164080558039954,0.405001163482666
scaffold,2,0,ChemSMD+PCA+TabICL,-0.2990537575481329,1.3151805842893542,1.7527310848236084
scaffold,2,0,ChemSMD+EnsRP+TabICL,-0.22993835773649862,1.279715666035947,8.82715916633606
scaffold,2,1,Predict-train-mean,,,3.814697265625e-06
scaffold,2,1,1-NN ECFP4,-0.8851908454453277,2.155328194216922,0.004243135452270508
scaffold,2,1,ECFP4-GBDT,0.32264634883913723,1.2919433769065463,0.5960366725921631
scaffold,2,1,ECFP6-GBDT,0.3805631036856887,1.2354758942651871,0.6020410060882568
scaffold,2,1,MACCS-GBDT,0.2265046597673872,1.3805896112440466,0.5137050151824951
scaffold,2,1,ECFP4-RF,0.1882207932923471,1.4143428325430405,0.4034872055053711
scaffold,2,1,ChemSMD+PCA+TabICL,0.23810967543398287,1.3701936642000432,1.7449641227722168
scaffold,2,1,ChemSMD+EnsRP+TabICL,0.30552958558157994,1.3081652039219887,8.634778022766113
scaffold,2,2,Predict-train-mean,,,4.291534423828125e-06
scaffold,2,2,1-NN ECFP4,-0.27603845000982474,1.7297350703782037,0.004437685012817383
scaffold,2,2,ECFP4-GBDT,0.32239859271531546,1.2604767440896112,0.5954780578613281
scaffold,2,2,ECFP6-GBDT,0.3214411116422681,1.2613669929647189,0.6015439033508301
scaffold,2,2,MACCS-GBDT,0.3137139639858767,1.2685287038301898,0.5108840465545654
scaffold,2,2,ECFP4-RF,0.33538284233995586,1.2483417481393952,0.4041860103607178
scaffold,2,2,ChemSMD+PCA+TabICL,0.4217529465205381,1.1644060280843345,1.7344722747802734
scaffold,2,2,ChemSMD+EnsRP+TabICL,0.42732434547388964,1.1587829682270114,8.631212711334229
scaffold,2,3,Predict-train-mean,,,3.814697265625e-06
scaffold,2,3,1-NN ECFP4,-0.34379166044420995,1.5368780134062139,0.004045009613037109
scaffold,2,3,ECFP4-GBDT,0.41438813386633866,1.0145614337058977,0.5968451499938965
scaffold,2,3,ECFP6-GBDT,0.32616838288518735,1.0883011924959347,0.6095690727233887
scaffold,2,3,MACCS-GBDT,0.30242600896143834,1.1073083028802608,0.5048971176147461
scaffold,2,3,ECFP4-RF,0.39509625503261536,1.031137428577742,0.4042031764984131
scaffold,2,3,ChemSMD+PCA+TabICL,0.42420340492263076,1.0060231492126357,1.7323520183563232
scaffold,2,3,ChemSMD+EnsRP+TabICL,0.4547894034459069,0.9789388202141281,8.67086911201477
scaffold,2,4,Predict-train-mean,,,5.0067901611328125e-06
scaffold,2,4,1-NN ECFP4,-0.46702404471081427,1.7651336121169066,0.0042972564697265625
scaffold,2,4,ECFP4-GBDT,0.3706312182483562,1.1561430288784265,0.591151237487793
scaffold,2,4,ECFP6-GBDT,0.36152830449777973,1.1644739537518087,0.5946371555328369
