benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL218_EC50,823,208,v4,128,TabICL-MLX,0.6586581505255155,0.7093119639482791,0.6276421014446039,1.8138010501861572
CHEMBL218_EC50,823,208,v4,160,TabICL-MLX,0.6551539941844865,0.7014106407716425,0.6269751809301876,2.2602479457855225
CHEMBL218_EC50,823,208,v4,192,TabICL-MLX,0.6665400568621587,0.7003976909836311,0.6462421251477581,2.7254199981689453
CHEMBL218_EC50,823,208,v5,96,TabICL-MLX,0.660697196220256,0.7038244159646064,0.6345380874111353,1.422797679901123
CHEMBL218_EC50,823,208,v5,128,TabICL-MLX,0.6562568119240487,0.6911882390857308,0.635274032051124,1.8388140201568604
CHEMBL218_EC50,823,208,v5,160,TabICL-MLX,0.6591753472079331,0.704663289366845,0.631500674038223,2.2349181175231934
CHEMBL218_EC50,823,208,v5,192,TabICL-MLX,0.6741208090429963,0.6892199027277323,0.665271914325095,2.745509147644043
CHEMBL218_EC50,823,208,v6,96,TabICL-MLX,0.6650146614337151,0.7083401445921489,0.6387379696677973,1.4147140979766846
CHEMBL218_EC50,823,208,v6,128,TabICL-MLX,0.6588741018021029,0.7008279365969815,0.6334596550806882,1.814767837524414
CHEMBL218_EC50,823,208,v6,160,TabICL-MLX,0.6588932799740127,0.7010887330472763,0.6333249689687553,2.250515937805176
CHEMBL218_EC50,823,208,v6,192,TabICL-MLX,0.6707320805266287,0.7098847863916062,0.6471159232956291,2.7113869190216064
CHEMBL219_Ki,1491,374,v3,96,TabICL-MLX,0.6466514164152172,0.6805073408533906,0.6234849687063015,2.3416740894317627
CHEMBL219_Ki,1491,374,v3,128,TabICL-MLX,0.6548696942697892,0.6956386444179445,0.6267360656141815,3.1010570526123047
CHEMBL219_Ki,1491,374,v3,160,TabICL-MLX,0.6505238622793921,0.6823350052986228,0.6288203779082938,3.820338249206543
CHEMBL219_Ki,1491,374,v3,192,TabICL-MLX,0.6544194120986432,0.6956700894942233,0.6259344030218884,4.814760208129883
CHEMBL219_Ki,1491,374,v4,96,TabICL-MLX,0.6352995285083469,0.6638583823257291,0.6158801126285313,2.4042670726776123
CHEMBL219_Ki,1491,374,v4,128,TabICL-MLX,0.6405657298884762,0.6788277285418086,0.6142190214441321,3.1012380123138428
CHEMBL219_Ki,1491,374,v4,160,TabICL-MLX,0.6343418056278394,0.6768646816407656,0.6048773061066269,3.7869791984558105
CHEMBL219_Ki,1491,374,v4,192,TabICL-MLX,0.6459822072953568,0.7005573438090001,0.6075922490945885,4.605320930480957
CHEMBL219_Ki,1491,374,v5,96,TabICL-MLX,0.6276133023516487,0.6518839054834323,0.6111972656593274,2.3184897899627686
CHEMBL219_Ki,1491,374,v5,128,TabICL-MLX,0.6349580443781896,0.6830236400922599,0.60140354979482,3.0978901386260986
CHEMBL219_Ki,1491,374,v5,160,TabICL-MLX,0.629835378354156,0.6689282937216952,0.6028626993258364,3.8500378131866455
CHEMBL219_Ki,1491,374,v5,192,TabICL-MLX,0.6245681939973975,0.6681735299294667,0.5942813102295674,4.589822053909302
CHEMBL219_Ki,1491,374,v6,96,TabICL-MLX,0.6385874094507127,0.6619821837021581,0.6227909387587778,2.328903913497925
CHEMBL219_Ki,1491,374,v6,128,TabICL-MLX,0.6386373901389791,0.667398421205763,0.6190790813676758,3.052969217300415
CHEMBL219_Ki,1491,374,v6,160,TabICL-MLX,0.6505308257883736,0.6831657377627441,0.6282413593142804,3.7943568229675293
CHEMBL219_Ki,1491,374,v6,192,TabICL-MLX,0.6545599109806438,0.6918715511535862,0.6289274792612594,4.5808727741241455
CHEMBL228_Ki,1362,342,v3,96,TabICL-MLX,0.6193710524108914,0.7023527991334606,0.5646533281028071,2.1371562480926514
CHEMBL228_Ki,1362,342,v3,128,TabICL-MLX,0.6190350319142495,0.6938907575005234,0.5702197639630672,2.7976810932159424
CHEMBL228_Ki,1362,342,v3,160,TabICL-MLX,0.6168041004146659,0.688435871193336,0.5702797605967603,3.467128038406372
CHEMBL228_Ki,1362,342,v3,192,TabICL-MLX,0.6049566995478813,0.6782624004410129,0.5571420652956802,4.380367994308472
CHEMBL228_Ki,1362,342,v4,96,TabICL-MLX,0.6212037187065832,0.691192249003414,0.5758792457366093,2.159766674041748
CHEMBL228_Ki,1362,342,v4,128,TabICL-MLX,0.6201270395532589,0.6870088990674856,0.5769892180871744,2.7999579906463623
CHEMBL228_Ki,1362,342,v4,160,TabICL-MLX,0.6177065393079809,0.6934581202724228,0.568235534599653,3.438793897628784
CHEMBL228_Ki,1362,342,v4,192,TabICL-MLX,0.6257781668026297,0.7002532807300204,0.5772894930606461,4.226670026779175
CHEMBL228_Ki,1362,342,v5,96,TabICL-MLX,0.6078577225834283,0.6880836610217718,0.5550471469683148,2.094616174697876
CHEMBL228_Ki,1362,342,v5,128,TabICL-MLX,0.6134602959585566,0.6965498041473742,0.5586028998632584,2.804377794265747
CHEMBL228_Ki,1362,342,v5,160,TabICL-MLX,0.6143391711478062,0.7001133528961275,0.5575067307189948,3.422394275665283
CHEMBL228_Ki,1362,342,v5,192,TabICL-MLX,0.6127084377392064,0.687061798721354,0.5642032003993473,4.20946478843689
CHEMBL228_Ki,1362,342,v6,96,TabICL-MLX,0.6202146919068907,0.6903904494988664,0.5747505890991325,2.1147661209106445
CHEMBL228_Ki,1362,342,v6,128,TabICL-MLX,0.6227288705173111,0.712032899500979,0.5633651120723351,2.807905912399292
CHEMBL228_Ki,1362,342,v6,160,TabICL-MLX,0.6171291661762238,0.7129756092993077,0.552759311504428,3.432141065597534
CHEMBL228_Ki,1362,342,v6,192,TabICL-MLX,0.6187760877407886,0.695576628333876,0.5685569708099172,4.172141075134277
CHEMBL231_Ki,776,197,v3,96,TabICL-MLX,0.6534210264299442,0.8287975171651252,0.5858481021075832,1.3210937976837158
CHEMBL231_Ki,776,197,v3,128,TabICL-MLX,0.6354522043723444,0.8320719391092499,0.5575353559051291,1.7098281383514404
CHEMBL231_Ki,776,197,v3,160,TabICL-MLX,0.6590524056078962,0.8694012883241075,0.5751320200166041,2.0793447494506836
CHEMBL231_Ki,776,197,v3,192,TabICL-MLX,0.6617175267736305,0.8832490904841422,0.572374170834669,2.5163068771362305
CHEMBL231_Ki,776,197,v4,96,TabICL-MLX,0.6586803664405653,0.8343841166480415,0.5910571167595738,1.3120231628417969
